Name,Full Name,Korean Description,English Description,대분류,중분류,소분류
KPF,Kona Private Funding,"목적: 한국 전통 계 서비스. 모바일 앱 기반 비공개 그룹 펀딩.
주요 기능:
- 펀딩용 비공개 그룹 생성
- 그룹 라운드(멤버 수만큼) 운영
- 라운드별 수령자 선정
- 수령자 외 멤버 펀딩 납부
도메인: 계, 펀딩, 그룹, 한국 전통","Purpose: Kona Private Funding; mobile-app version of Korean traditional 'gye'.
Functions:
- Create private funding group
- Run rounds equal to member count
- Pick recipient per round
- Non-recipient members pay funding
Domain: private funding, gye, group, traditional",부가서비스,송금·기부·선물,펀딩
KPG,Kona Payment Gateway,"목적: NHN KCP를 통한 신용카드 기반 선불카드 충전 서비스.
주요 기능:
- NHN KCP 연동 신용카드 결제
- 신용카드로 선불카드 충전
도메인: 신용카드, 충전, NHN KCP, 선불카드
연계: NHN KCP","Purpose: Prepaid-card recharge via credit card through NHN KCP.
Functions:
- Integrate NHN KCP for credit-card payment
- Recharge prepaid card via credit card
Domain: credit card, recharge, NHN KCP, prepaid
Related: NHN KCP",거래,결제,신용카드 결제
KPS,Kona Point System,"목적: 포인트(캐시백) 관리 컴포넌트. 정책 기반 적립/사용/지급/차감 및 소멸 처리.
주요 기능:
- 혜택 적립
- 포인트 사용 / 자동사용 / 자동 복합 사용
- 인센티브 적립
- 고객센터 유저 포인트 지급/차감
- 수당 지급/회수, 복지포인트 지급
- 환불 시 포인트 차감
- 포인트 이용내역 조회
- 포인트 소멸(소멸일·사용분 계산)
도메인: 포인트, 캐시백, 적립, 사용, 소멸, 수당, 복지포인트
연계: CRS, IAS","Purpose: Point/cashback management; supports policy-based accrual, usage, payment, deduction, and expiration.
Functions:
- Benefit accrual
- Point usage / auto-use / combined auto-use
- Incentive accrual
- Customer-center user-point grant/deduct
- Subsidy grant/recall, welfare point grant
- Point deduction on refund
- Point usage history
- Expire points (date + used calculation)
Domain: point, cashback, accrual, usage, expiration, subsidy, welfare point
Related: CRS, IAS",부가서비스,포인트·리워드,포인트
KS-BATCH,Ks Data Batch Server,"목적: KS(한국고용정보)의 CTI 데이터를 KONAI DB에 적재하고 실시간 조회 API 제공하는 고객센터 모니터링 배치.
주요 기능:
- KS CTI 데이터 일부 KONAI DB 적재
- 실시간 조회 API 제공
도메인: 고객센터, CTI, 배치, 모니터링
연계: KS, KONAI DB","Purpose: Batch server for customer-center monitoring; loads selected KS CTI data into KONAI DB and exposes a real-time API.
Functions:
- Load selected KS CTI data into KONAI DB
- Expose real-time KS data API
Domain: customer center, CTI, batch, monitoring
Related: KS, KONAI DB",운영,고객센터,콜센터
KSTS,Kona Stamp System,"목적: 스탬프 시스템. 결제이력 기준 적립/취소 및 적립 이력 기준 보상/취소.
주요 기능:
- 스탬프 정책 관리
- 결제 이력에 따른 적립/취소
- 적립 이력에 따른 보상/취소
도메인: 스탬프, 정책, 보상, 결제","Purpose: Stamp system; manages stamp policy, accrual/cancel based on payments, reward/cancel based on accrual.
Functions:
- Manage stamp policy
- Accrue/cancel by payment history
- Reward/cancel by accrual history
Domain: stamp, policy, reward, payment",부가서비스,포인트·리워드,스탬프
KTC,Kona Traffic Controller,"목적: 트레이서 대기열 솔루션을 내재화한 프로젝트. 특정 Zone 진입 시 N분당 M명 접속 허용 및 대기열 순번 제공.
주요 기능:
- Zone 진입 트래픽 제어
- 대기열 순번 제공
도메인: 대기열, 트래픽 제어, Zone, 트레이서
연계: KTCA","Purpose: Internalized tracer-queue solution project; admits M users per N min into a Zone and shows queue position.
Functions:
- Throttle traffic into Zones
- Provide queue position
Domain: queue, traffic control, zone, tracer
Related: KTCA",플랫폼,인프라/공통,트래픽 제어
KTCA,Kona Traffic Controller Api Server,"목적: KTC의 API 서버. Zone 정책 반영 및 실시간 Zone/대기열 시각화 데이터 제공.
주요 기능:
- Zone 정책 반영(N분당 M명)
- 실시간 Zone/대기열 데이터 제공
도메인: 대기열, API, 정책, Zone
연계: KTC","Purpose: API server for KTC; applies Zone policy and provides real-time Zone/queue visualization data.
Functions:
- Apply Zone policy (M per N min)
- Provide real-time Zone/queue data
Domain: queue, API, policy, zone
Related: KTC",플랫폼,인프라/공통,트래픽 제어
LBMS,Location Base Merchant Service,"목적: 위치 기반 가맹점 서비스. Elasticsearch에 가맹점 정보를 관리·조회.
주요 기능:
- 가맹점 정보 Elasticsearch 색인
- 위치 기반 가맹점 조회
도메인: 위치 기반, 가맹점, Elasticsearch
연계: Elasticsearch","Purpose: Location-based merchant service; manages and queries merchant info via Elasticsearch.
Functions:
- Index merchant info into Elasticsearch
- Location-based merchant query
Domain: location-based, merchant, Elasticsearch
Related: Elasticsearch",가맹점,가맹점 관리,가맹점 정보
LOP,Local Order Platform,"목적: 배달 서비스 컴포넌트. 배달 가맹점·메뉴·정책 관리 및 배달 결제 기능 제공.
주요 기능:
- 배달 가맹점(PLACE) 관리
- 메뉴 및 정책 관리
- 배달 결제 기능 제공
도메인: 배달, 가맹점, 메뉴, 결제
연계: LOP_EXT, LOP_DTS, LOP_RDS","Purpose: Delivery service component; manages delivery merchants, menus, policies, and provides payment.
Functions:
- Manage PLACE (delivery merchant)
- Manage menu and policy
- Provide payment functionality
Domain: delivery, merchant, menu, payment
Related: LOP_EXT, LOP_DTS, LOP_RDS",모빌리티,배달,배달 코어
LOP_DTS,Local Order Platform Data Transfer Service,"목적: 배달 서비스 데이터 관리 컴포넌트.
주요 기능:
- 배달 데이터 관리/이관
도메인: 배달, 데이터 관리, DTS
연계: LOP","Purpose: Local Order Platform data-transfer service; manages delivery data.
Functions:
- Manage / transfer delivery data
Domain: delivery, data transfer, DTS
Related: LOP",모빌리티,배달,배달 데이터
LOP_EXT,Local Order Platform Externel,"목적: 배달 서비스 외부 연동 컴포넌트(재사용 용기 등).
주요 기능:
- 외부 시스템 연동(재사용 용기 등)
도메인: 배달, 외부 연동, 재사용 용기
연계: LOP","Purpose: Local Order Platform external-integration component (e.g., reusable containers).
Functions:
- External integration (e.g., reusable containers)
Domain: delivery, external integration, reusable container
Related: LOP",모빌리티,배달,배달 외부 연동
LOP_RDS,Local Order Platform Realtime Dispatcher Service,"목적: LOP 실시간 폴링 서비스(Realtime Dispatcher).
주요 기능:
- LOP 실시간 폴링/디스패치
도메인: 배달, 실시간, 폴링, 디스패치
연계: LOP","Purpose: Local Order Platform realtime polling/dispatch service.
Functions:
- Realtime LOP polling/dispatch
Domain: delivery, realtime, polling, dispatch
Related: LOP",모빌리티,배달,배달 실시간
LSS,Luckyloco Support Service,"목적: 코나카드 플랫폼과 럭키로코 서비스 연계 지원 컴포넌트.
주요 기능:
- 럭키로코 연계 지원
도메인: 럭키로코, 외부 연계, 지원
연계: 럭키로코","Purpose: Support component bridging KonaCard platform and Luckyloco service.
Functions:
- Bridge with Luckyloco service
Domain: Luckyloco, integration, support
Related: Luckyloco",플랫폼,외부 연계,외부 제휴
MAP,Mobile Application Platform,"목적: 회원/약관/프로모션/추천인 관리 플랫폼. Wallet 인증, 디바이스, 등급(준준/준/정회원) 관리.
주요 기능:
- 회원 가입/일시중지/탈퇴 등 라이프사이클 관리
- 블랙리스트 관리
- Wallet 인증(Token, Password)
- Device 정보 관리
- 회원 등급(준준/준/정) 관리
- ASP별 약관 관리·동의 여부 관리
- 프로모션 코드 관리
- 추천인 코드/추천 정보 관리
도메인: 회원, 약관, 프로모션, 추천인, 인증, 디바이스, 등급","Purpose: Mobile Application Platform managing members, terms, promotions, recommenders; handles Wallet auth, device, member tiers.
Functions:
- Member lifecycle: join, suspend, withdraw
- Black-list management
- Wallet auth (token, password)
- Device info management
- Member-tier management (junior/semi/full)
- Per-ASP terms management and agreement
- Promotion code management
- Recommender code / referral info management
Domain: member, terms, promotion, recommender, auth, device, tier",회원·인증,회원,회원 관리
MAS,Mobility Application Service,"목적: 코나 모빌리티(택시) 컴포넌트.
주요 기능:
- 모빌리티/택시 서비스 제공
도메인: 모빌리티, 택시
연계: MAS-S, MAS-B, MAS-J","Purpose: Mobility application service (taxi) component.
Functions:
- Provide mobility/taxi service
Domain: mobility, taxi
Related: MAS-S, MAS-B, MAS-J",모빌리티,택시 거래/관제,택시 코어
MAS-B,Mobility Application Service Batch,"목적: 모빌리티 통계 배치. 모빌리티 포탈에 택시 통계 API 제공, IAS 거래 데이터·CLR 정산 데이터 적재.
주요 기능:
- 택시 통계 데이터 조회 API
- IAS 실시간 거래 데이터 수신/적재
- CLR 정산 데이터 수신/적재
도메인: 모빌리티, 통계, 배치, 택시
연계: MAS, IAS, CLR","Purpose: Mobility statistics batch; serves taxi-stats API to Mobility portal and ingests IAS tx and CLR settlement.
Functions:
- Taxi-stats inquiry API
- Receive and store IAS realtime tx
- Receive and store CLR settlement
Domain: mobility, stats, batch, taxi
Related: MAS, IAS, CLR",모빌리티,택시 거래/관제,택시 통계/배치
MAS-J,Mobility Application Service Job,"목적: 모빌리티 통계/정산 배치 작업.
주요 기능:
- 모빌리티 통계/정산 배치 수행
도메인: 모빌리티, 배치, 잡
연계: MAS, MAS-B","Purpose: Mobility job runner; runs batch jobs for mobility stats/settlement.
Functions:
- Run mobility stats/settlement batch jobs
Domain: mobility, batch, job
Related: MAS, MAS-B",모빌리티,택시 거래/관제,택시 통계/배치
MAS-S,Mobility Application Service Service,"목적: 모빌리티 실시간 관제. 실시간 택시 위치 트래킹 및 호출 현황 관제.
주요 기능:
- 실시간 택시 위치 Tracking
- 실시간 택시 Call 호출 현황 관제
도메인: 모빌리티, 관제, 실시간, 택시
연계: MAS, RDS","Purpose: Mobility realtime control; tracks taxi positions and call status in real time.
Functions:
- Realtime taxi-position tracking
- Realtime taxi-call status control
Domain: mobility, control, realtime, taxi
Related: MAS, RDS",모빌리티,택시 거래/관제,택시 관제
MASI,Mobility Application Service Interface,"목적: 모빌리티 택시 데이터 조회(Read 전용) 서비스. 포탈에서 사용.
주요 기능:
- 포탈용 모빌리티 데이터 Read API
도메인: 모빌리티, Read 전용, 인터페이스
연계: MASM, MASP","Purpose: Mobility taxi data inquiry service (read-only); used by portal.
Functions:
- Read-only data API for portal (masm, masp, ...)
Domain: mobility, read-only, interface
Related: MASM, MASP",모빌리티,택시 거래/관제,택시 데이터 조회
MASM,Mobility Application Service Management Portal,"목적: 코나 모빌리티 관리자 포탈.
주요 기능:
- 모빌리티 관리 포탈 화면 제공
도메인: 모빌리티, 관리자, 포탈","Purpose: Mobility management portal.
Functions:
- Provide mobility management portal screens
Domain: mobility, admin, portal",모빌리티,택시 운영/자산,모빌리티 포탈
MASP,Mobility Application Service Partner Portal,"목적: 코나 모빌리티 비지니스 파트너 포탈.
주요 기능:
- 모빌리티 파트너 포탈 화면 제공
도메인: 모빌리티, 파트너, 포탈","Purpose: Mobility business partner portal.
Functions:
- Provide mobility partner portal screens
Domain: mobility, partner, portal",모빌리티,택시 운영/자산,모빌리티 포탈
MASV,Mobility Application Service View Api,"목적: 코나 모빌리티 전시 API 서비스.
주요 기능:
- 모빌리티 전시 API 제공
도메인: 모빌리티, 전시, API","Purpose: Mobility view (display) API service.
Functions:
- Provide mobility display API
Domain: mobility, display, API",모빌리티,택시 거래/관제,택시 통계 API
MAS_VOP,Mobility Application Service Voucher Portal,"목적: 코나모빌리티 바우처 관리 포탈(김포 마마콜).
주요 기능:
- 바우처 관리 포탈 제공(김포)
도메인: 모빌리티, 바우처, 김포, MamaCall","Purpose: Mobility Voucher management Portal (Kimpo / MamaCall).
Functions:
- Voucher management portal (Kimpo)
Domain: mobility, voucher, Kimpo, MamaCall",모빌리티,모빌리티 바우처,김포 마마콜
MAS_VOS,Mobility Application Service Voucher Service Api,"목적: 코나모빌리티 바우처 서비스 API(김포).
주요 기능:
- 바우처 서비스 API 제공(김포)
도메인: 모빌리티, 바우처, API, MamaCall","Purpose: Mobility Voucher Service API (Kimpo / MamaCall).
Functions:
- Voucher service API (Kimpo)
Domain: mobility, voucher, API, MamaCall",모빌리티,모빌리티 바우처,김포 마마콜
MAS_VOV,Mobility Application Service Voucher View,"목적: 코나모빌리티 바우처 전시(김포).
주요 기능:
- 바우처 전시 화면 제공(김포)
도메인: 모빌리티, 바우처, 전시, MamaCall","Purpose: Mobility Voucher View (Kimpo / MamaCall).
Functions:
- Voucher display (Kimpo)
Domain: mobility, voucher, view, MamaCall",모빌리티,모빌리티 바우처,김포 마마콜
MDPS,Mobility Data Purge Service,"목적: 모빌리티 데이터 삭제 서비스. ISMS-P 관련 데이터 삭제 및 익명화.
주요 기능:
- 모빌리티 데이터 삭제
- 데이터 익명화
도메인: ISMS-P, 데이터 삭제, 익명화, 모빌리티","Purpose: Mobility data-purge service; data deletion and anonymization for ISMS-P.
Functions:
- Delete mobility data
- Anonymize data
Domain: ISMS-P, data purge, anonymization, mobility",모빌리티,택시 운영/자산,데이터 정리
MING,Mobileweb Into Native Group,"목적: 앱에서 QR을 표시하기 위한 웹 컴포넌트.
주요 기능:
- 앱 QR 표시용 웹 컴포넌트
도메인: QR, 웹뷰, 앱","Purpose: Mobile-web component used to render QR codes inside the app.
Functions:
- Render QR display in the app
Domain: QR, webview, app",거래,결제,QR 결제
MIS,Mobility Integration Service,"목적: 모빌리티 연동 서비스. 코나모빌리티-제휴사 데이터 연동 지원.
주요 기능:
- 코나모빌리티-제휴사 데이터 연동
도메인: 모빌리티, 외부 연계, 제휴사
연계: 제휴사","Purpose: Mobility integration service; supports data integration between Kona Mobility and partners.
Functions:
- Bridge Kona Mobility ↔ partner data
Domain: mobility, integration, partner
Related: external partners",모빌리티,택시 운영/자산,외부 연계
MLS,Mileage Service,"목적: 마일리지 서비스. 적립/사용/취소/만료 기능 제공.
주요 기능:
- 마일리지 적립
- 마일리지 사용
- 마일리지 취소
- 마일리지 만료
도메인: 마일리지, 적립, 사용, 취소, 만료","Purpose: Mileage service; accrue, use, cancel, expire.
Functions:
- Accumulate mileage
- Use mileage
- Cancel mileage
- Expire mileage
Domain: mileage, accrue, use, cancel, expire",부가서비스,포인트·리워드,마일리지
MONGO,Mongo Db,"목적: MongoDB. 다양한 형태의 데이터를 쉽게 저장·관리하는 NoSQL 데이터베이스. 대량 처리·수평 확장·복잡한 검색/분석/집계 지원.
주요 기능:
- 다양한 데이터 형태 저장/관리
- 대량 데이터 처리 및 수평 확장
- 복잡한 검색·분석·집계
- 다양한 언어 지원
도메인: MongoDB, NoSQL, 데이터베이스, 인프라","Purpose: MongoDB; NoSQL database easily storing/managing diverse data; suited for high-volume, horizontally scalable, complex query/analytics workloads.
Functions:
- Store and manage diverse data forms
- High-volume processing with horizontal scalability
- Complex search, analytics, aggregation
- Multi-language SDK support
Domain: MongoDB, NoSQL, database, infrastructure",플랫폼,인프라/공통,검색/저장소
MONIS,Monitoring Interface Service,"목적: 관제(FMS) ↔ 택시 호출 시스템 연동 인터페이스.
주요 기능:
- 관제-택시호출 데이터 연동
도메인: 모빌리티, 관제, FMS, 인터페이스
연계: MAS","Purpose: Interface component between taxi system and FMS (fleet monitoring).
Functions:
- Bridge FMS and taxi-call data
Domain: mobility, control, FMS, interface
Related: MAS",모빌리티,택시 거래/관제,택시 관제
MOSP,Mobility Ota Service Portal,"목적: 모빌리티 OTA 서비스 포탈. 앱미터 OTA 관리 포탈.
주요 기능:
- 앱미터 OTA 관리 포탈
도메인: 모빌리티, OTA, 앱미터, 포탈
연계: AMM","Purpose: Mobility OTA service portal; AppMeter OTA management portal.
Functions:
- AppMeter OTA management portal
Domain: mobility, OTA, AppMeter, portal
Related: AMM",모빌리티,택시 운영/자산,모빌리티 OTA
MPT,Merchant Portal Two,"목적: KMP의 후속 가맹점주 전용 포탈. 거래내역/통계 조회, 거래 취소, 가맹점 소개 정보 관리.
주요 기능:
- 가맹점 거래내역/통계 조회
- 거래 취소
- 가맹점 소개 정보 입력/수정
도메인: 가맹점 포탈, 거래내역, 통계, 취소
연계: KMP(레거시)","Purpose: Successor merchant portal to KMP; merchants view tx history/stats and manage cancellations and intro info.
Functions:
- View merchant tx history/stats
- Cancel transactions
- Edit merchant intro info
Domain: merchant portal, tx history, stats, cancellation
Related: KMP (legacy)",가맹점,가맹점 포탈,가맹점 포탈
MSMA,Mobility Supply Chain Management Api Service,"목적: 모빌리티 자산 관리 시스템 API 서비스.
주요 기능:
- 모빌리티 자산 관리 API
도메인: 모빌리티, 자산 관리, SCM, API","Purpose: Mobility supply-chain management API service.
Functions:
- Mobility supply-chain (asset) management API
Domain: mobility, asset management, SCM, API",모빌리티,택시 운영/자산,모빌리티 자산
MSMW,Mobility Supply Chain Management Web,"목적: 모빌리티 자산 관리 시스템 포탈(웹).
주요 기능:
- 모빌리티 자산 관리 포탈 화면
도메인: 모빌리티, 자산 관리, SCM, 포탈","Purpose: Mobility supply-chain management web portal.
Functions:
- Mobility asset-management portal screens
Domain: mobility, asset management, SCM, portal",모빌리티,택시 운영/자산,모빌리티 자산
MYDG,My Data Gateway,"목적: 마이데이터 정보제공 서비스용 Gateway 컴포넌트.
주요 기능:
- 마이데이터 외부 연동 게이트웨이
도메인: 마이데이터, Gateway, 외부 연동
연계: MYDS","Purpose: Gateway component for the MyData information-provision service.
Functions:
- MyData gateway for external requests
Domain: MyData, gateway, external
Related: MYDS",운영,마이데이터,마이데이터
MYDS,My Data Service,"목적: 마이데이터 정보제공자 컴포넌트.
주요 기능:
- 마이데이터 정보 제공
도메인: 마이데이터, 정보제공자
연계: MYDG","Purpose: MyData information-provider component.
Functions:
- Provide MyData information
Domain: MyData, info provider
Related: MYDG",운영,마이데이터,마이데이터
NCS,Name Check Service,"목적: KG이니시스 통합인증 연동 컴포넌트. APP에서 KG이니시스 통합인증 서비스를 사용하기 위한 컴포넌트.
주요 기능:
- KG이니시스 통합인증 연동
도메인: 통합 인증, KG이니시스, APP
연계: KG이니시스","Purpose: Name Check Service; component to integrate KG Inicis's unified authentication service from the APP.
Functions:
- Integrate KG Inicis unified-auth service
Domain: unified auth, KG Inicis, APP
Related: KG Inicis",회원·인증,인증,본인인증
NICE-CORE,Nice Core,"목적: NICE(KG Mobiliance 연동) 본인인증 서비스. 기기변경/실명/유저정보 변경/비밀번호/유저ID 확인 등에서 사용.
주요 기능:
- KG Mobiliance 연동 본인인증
- 기기변경/실명/유저정보 변경/비밀번호/유저ID 확인 본인인증
도메인: 본인인증, NICE, KG Mobiliance, 기기변경
연계: KG Mobiliance, CLMK","Purpose: NICE-core identity-verification service (linked with KG Mobiliance); used for device change, real-name, user-info/password/user-ID change.
Functions:
- Identity verification via KG Mobiliance
- Verification for device change, real-name, profile/password/user-ID change
Domain: identity verification, NICE, KG Mobiliance, device change
Related: KG Mobiliance, CLMK",회원·인증,인증,본인인증
OAGW,Open Api Admin Panel Gateway,"목적: OpenAPI Admin Panel Gateway. OpenAPI Admin Portal의 호출을 라우팅하는 게이트웨이.
주요 기능:
- OpenAPI Admin Portal 호출 라우팅
도메인: OpenAPI, Admin, 게이트웨이, 라우팅
연계: OCAP","Purpose: Gateway component routing calls from the OpenAPI Admin Portal.
Functions:
- Route calls from OpenAPI Admin Portal
Domain: OpenAPI, admin, gateway, routing
Related: OCAP",플랫폼,OpenAPI,OpenAPI 게이트웨이
OASG,Open Api Service Gateway,"목적: Open API 게이트웨이.
주요 기능:
- OpenAPI 요청 게이트웨이
도메인: OpenAPI, 게이트웨이","Purpose: Gateway for Open API.
Functions:
- Gateway for OpenAPI requests
Domain: OpenAPI, gateway",플랫폼,OpenAPI,OpenAPI 게이트웨이
OASL,Open Api Service Layer,"목적: No HCE 기반 오픈 API 서비스 레이어. Kona Health, JADU, PINO 등.
주요 기능:
- Kona Health 연동
- JADU/PINO 등 No-HCE 서비스 처리
도메인: OpenAPI, No HCE, Kona Health, JADU, PINO","Purpose: Open API service layer for non-HCE services (Kona Health, JADU, PINO, ...).
Functions:
- Bridge Kona Health
- Handle non-HCE services like JADU, PINO
Domain: OpenAPI, No HCE, Kona Health, JADU, PINO",플랫폼,OpenAPI,OpenAPI 외부 연동
OASP,Open Api Service Portal,"목적: 오픈 API 설정 포탈.
주요 기능:
- OpenAPI 설정/관리 포탈
도메인: OpenAPI, 포탈, 설정","Purpose: Portal for Kona Open API configuration.
Functions:
- OpenAPI configuration/management portal
Domain: OpenAPI, portal, configuration",플랫폼,OpenAPI,OpenAPI 포탈
OASR,Open Api Service Route & Data Remapping Service,"목적: Open API 서비스 라우팅 및 데이터 ReMapping. 웰컴/애큐온저축은행, 레몬트리, 코리엠소프트 등.
주요 기능:
- 요청 라우팅 + 데이터 재매핑
- 웰컴저축은행/애큐온저축은행/레몬트리/코리엠소프트 연동
도메인: OpenAPI, 라우팅, ReMapping, 외부 연동
연계: 웰컴저축은행, 애큐온저축은행, 레몬트리, 코리엠소프트","Purpose: Open API service route + data re-mapping; integrates with Welcome Bank, Acuon Bank, Lemontree, KORIEMSOFT.
Functions:
- Route requests + remap data
- Integrate with Welcome/Acuon/Lemontree/KORIEMSOFT
Domain: OpenAPI, routing, remapping, external
Related: Welcome, Acuon, Lemontree, KORIEMSOFT",플랫폼,OpenAPI,OpenAPI 라우팅
OCAP,Open Api Center Admin Portal,"목적: OpenAPI Center Admin Portal. 개발자 센터 관리자 UI. API 스펙 설정, 프로젝트/승인/사용자 관리.
주요 기능:
- API 스펙 설정
- 프로젝트 관리
- 승인 관리
- 사용자 관리
도메인: OpenAPI, Admin Portal, 관리자 UI
연계: OAGW, OCMS","Purpose: OpenAPI Center Admin Portal; developer-center admin UI for API spec, project, approval, user management.
Functions:
- API specification configuration
- Project management
- Approval management
- User management
Domain: OpenAPI, admin portal, admin UI
Related: OAGW, OCMS",플랫폼,OpenAPI,OpenAPI 포탈
OCCMS,Open Api Center Content Management System,"목적: OpenAPI Center Site의 콘텐츠 관리 시스템.
주요 기능:
- OpenAPI Center Site 콘텐츠 관리
도메인: OpenAPI, CMS, 콘텐츠 관리
연계: OCS","Purpose: Content Management System for OpenAPI Center Site.
Functions:
- Manage content for OpenAPI Center Site
Domain: OpenAPI, CMS, content management
Related: OCS",플랫폼,OpenAPI,OpenAPI 콘텐츠
OCDPS,Open Api Center Data Processor Service,"목적: OpenAPI Center 데이터 프로세서. 웹 크롤링, 데이터 스크래핑, Elasticsearch 적재.
주요 기능:
- 웹 크롤링
- 데이터 스크래핑
- Elasticsearch 적재
도메인: OpenAPI, 크롤링, 스크래핑, Elasticsearch
연계: ES, OCSE","Purpose: OpenAPI Center data processor; web crawling, scraping, and storing data into Elasticsearch.
Functions:
- Web crawling
- Data scraping
- Store data in Elasticsearch
Domain: OpenAPI, crawling, scraping, Elasticsearch
Related: ES, OCSE",플랫폼,OpenAPI,OpenAPI 데이터
OCGW,Open Api Center Gateway,"목적: OpenAPI Center Site의 호출을 라우팅하는 게이트웨이.
주요 기능:
- OpenAPI Center Site 호출 라우팅
도메인: OpenAPI, Center, 게이트웨이, 라우팅
연계: OCS","Purpose: Gateway component routing calls from the OpenAPI Center Site.
Functions:
- Route calls from OpenAPI Center Site
Domain: OpenAPI, center, gateway, routing
Related: OCS",플랫폼,OpenAPI,OpenAPI 게이트웨이
OCIS,Open Api Center Inquiry Service,"목적: OpenAPI Center Inquiry Service. 조회·정책 검사·API 집계.
주요 기능:
- 조회 처리
- 정책 검사
- API 집계(aggregator)
도메인: OpenAPI, 조회, 정책, 집계","Purpose: OpenAPI Center Inquiry Service; inquiry, policy checking, API aggregator.
Functions:
- Handle inquiries
- Policy checking
- API aggregator
Domain: OpenAPI, inquiry, policy, aggregator",플랫폼,OpenAPI,OpenAPI 조회
OCMS,Open Api Center Management System,"목적: OpenAPI Center 관리 시스템. 포탈 백엔드, 사용자/관리자/메뉴 권한, 승인, FAQ/공지/배너, UI 콘텐츠 설정.
주요 기능:
- 포탈 백엔드
- 공용/관리자 사용자 관리
- 메뉴 권한 및 역할 관리
- 승인 관리
- FAQ·공지·배너 관리
- UI 콘텐츠 설정
도메인: OpenAPI, 관리 시스템, 권한, 승인, 콘텐츠","Purpose: OpenAPI Center management system; portal backend covering user/admin, menu permissions, approval, FAQ/notice/banner, UI content.
Functions:
- Portal backend
- Public/admin user management
- Menu permissions and role management
- Approval management
- FAQ, notice, banner management
- UI content configuration
Domain: OpenAPI, management system, permission, approval, content",플랫폼,OpenAPI,OpenAPI 운영
OCPM,Open Api Center Project Management,"목적: OpenAPI Center 프로젝트 관리. 프로젝트 CRUD, 자격증명, API 스펙, UAT, SandBox 테스트, 유즈케이스/카테고리 관리.
주요 기능:
- 프로젝트 CRUD
- 프로젝트 자격증명 관리
- API 스펙 관리
- UAT 관리
- SandBox 테스트 관리
- 유즈케이스/API 카테고리 관리
도메인: OpenAPI, 프로젝트 관리, UAT, SandBox
연계: OCAP, OINS","Purpose: OpenAPI Center project management; project CRUD, credentials, API spec, UAT, SandBox testing, usecase/category.
Functions:
- Project CRUD
- Project credential management
- API specification management
- UAT management
- SandBox testing management
- Usecase / API category management
Domain: OpenAPI, project mgmt, UAT, SandBox
Related: OCAP, OINS",플랫폼,OpenAPI,OpenAPI 운영
OCS,Open Api Center Site,"목적: OpenAPI Center 사이트(개발자 센터 UI). 유즈케이스/기능/API 관리, 사용자 온보딩, SandBox 테스트, 프로젝트 관리, UAT.
주요 기능:
- 유즈케이스/기능/API 관리 UI
- 사용자 온보딩
- SandBox API 테스트
- 프로젝트 관리 UI
- UAT 관리
도메인: OpenAPI, 개발자 센터, UI, SandBox, UAT
연계: OCGW","Purpose: OpenAPI Center Site (developer-center UI); usecase/feature/API management, onboarding, SandBox testing, project mgmt, UAT.
Functions:
- Usecase/feature/API management UI
- User onboarding
- SandBox API testing
- Project management UI
- UAT management
Domain: OpenAPI, developer center, UI, SandBox, UAT
Related: OCGW",플랫폼,OpenAPI,OpenAPI 포탈
OCSE,Open Api Center Search Engine,"목적: OpenAPI Center 검색 엔진.
주요 기능:
- 검색 처리
도메인: OpenAPI, 검색
연계: ES, OCDPS","Purpose: OpenAPI Center search engine.
Functions:
- Search processing
Domain: OpenAPI, search
Related: ES, OCDPS",플랫폼,OpenAPI,OpenAPI 검색
OGD,Onsite Grant Disbursement,"목적: 현장지급 시스템(Onsite Grant Disbursement). 지급 등록/관리/통계 UI 제공.
주요 기능:
- 지급 등록/관리 UI
- 지급 통계 화면
도메인: 현장지급, 정책수당, 운영포탈","Purpose: Onsite Grant Disbursement; provides registration/management/stats UI for on-site payments.
Functions:
- Payment registration/management UI
- Statistics screen
Domain: on-site payment, subsidy, ops portal",정책·지원금,재난지원금,현장지급
OINS,Open Api Inspector,"목적: OpenAPI UAT(User Acceptance Test) 기능 제공.
주요 기능:
- OpenAPI UAT 기능 제공
도메인: OpenAPI, UAT, 검사
연계: OCPM","Purpose: Provides OpenAPI UAT (User Acceptance Test) function.
Functions:
- Provide OpenAPI UAT function
Domain: OpenAPI, UAT, validation
Related: OCPM",플랫폼,OpenAPI,OpenAPI 검사
OMCS,Open Api Mock Server,"목적: OpenAPI Mock 서버. Mock API Content CRUD 및 Sandbox API Content 테스트 제공.
주요 기능:
- Mock API Content 등록/수정/삭제/조회
- Sandbox API Content 테스트
도메인: OpenAPI, Mock, Sandbox, API 컨텐츠","Purpose: OpenAPI Mock server; CRUD on mock API contents and Sandbox API content testing.
Functions:
- Create/update/delete/read mock API contents
- Sandbox API content testing
Domain: OpenAPI, mock, Sandbox, API content",플랫폼,OpenAPI,OpenAPI Mock
ONOTIFY,Open Api Notify,"목적: OpenAPI 알림 컴포넌트(Email/Push/SMS).
주요 기능:
- Email 알림 발송
- Push 알림 발송
- SMS 알림 발송
도메인: OpenAPI, 알림, Email, Push, SMS","Purpose: OpenAPI notification component (Email / Push / SMS).
Functions:
- Send Email notifications
- Send Push notifications
- Send SMS notifications
Domain: OpenAPI, notification, Email, Push, SMS",플랫폼,OpenAPI,OpenAPI 알림
